cost,total_return,sharpe_ratio,max_drawdown,trade_count,turnover
0.0,0.221372,0.680759,-0.11112,88,0.117333
0.0005,0.168731,0.541719,-0.113797,88,0.117333
0.001,0.118335,0.40298,-0.116467,88,0.117333
0.0025,-0.020317,-0.009156,-0.124438,88,0.117333
0.005,-0.214616,-0.670098,-0.257345,88,0.117333
