regime,n_days,active_days,active_share,total_return,baseline_return,sharpe_ratio,max_drawdown
low,228,87,0.381579,0.009417,0.042442,0.152691,-0.098052
normal,227,80,0.352423,-0.067929,-0.292075,-0.652998,-0.12892
high,166,49,0.295181,0.038361,-0.073069,0.54318,-0.081146
stress,69,14,0.202899,0.144732,0.064815,3.838849,-0.023719
