fold,train_start,train_end,test_end,signal_family,label,train_sharpe,test_sharpe,test_total_return,test_baseline_return,test_max_drawdown
0,2021-01-01,2021-12-16,2022-06-09,mean_reversion,meanrev 40/1.5,0.042343,0.863459,0.010032,0.204763,-0.004806
1,2021-06-25,2022-06-09,2022-12-01,mean_reversion,meanrev 20/1.5,1.124942,-0.992671,-0.032007,-0.066756,-0.040418
2,2021-12-17,2022-12-01,2023-05-25,composite,composite 20/60 +volfilter,0.853325,-1.088014,-0.03452,-0.100877,-0.060717
3,2022-06-10,2023-05-25,2023-11-16,mean_reversion,meanrev 40/1.5,1.505545,0.762132,0.036463,-0.158718,-0.060826
